Item Code,Hub Sync ID,Workflow State,Series,Variant Of,Item Name,Item Group,HSN/SAC,Is nil rated or exempted,Is Non GST,Is Item from Hub,Default Unit of Measure,Disabled,Allow Alternative Item,Maintain Stock,Include Item In Manufacturing,Opening Stock,Valuation Rate,Standard Selling Rate,Is Fixed Asset,Auto Create Assets on Purchase,Asset Category,Asset Naming Series,Over Delivery/Receipt Allowance (%),Over Billing Allowance (%),Image,Brand,Description,Shelf Life In Days,End of Life,Default Material Request Type,Valuation Method,Warranty Period (in days),Weight Per Unit,Weight UOM,Has Batch No,Automatically Create New Batch,Batch Number Series,Has Expiry Date,Retain Sample,Max Sample Quantity,Has Serial No,Serial Number Series,Has Variants,Variant Based On,Is Purchase Item,Default Purchase Unit of Measure,Minimum Order Qty,Safety Stock,Lead Time in days,Last Purchase Rate,Is Customer Provided Item,Customer,Delivered by Supplier (Drop Ship),Country of Origin,Customs Tariff Number,Default Sales Unit of Measure,Is Sales Item,Max Discount (%),Deferred Revenue Account,Enable Deferred Revenue,No of Months,Deferred Expense Account,Enable Deferred Expense,no_of_months_exp,Inspection Required before Purchase,Inspection Required before Delivery,Quality Inspection Template,Default BOM,Supply Raw Materials for Purchase,Customer Code,Default Item Manufacturer,Default Manufacturer Part No,Show in Website,Show in Website (Variant),Route,Weightage,Slideshow,Website Image,Thumbnail,Website Warehouse,Website Description,Website Content,Total Projected Qty,Publish in Hub,Hub Category to Publish,Hub Warehouse,Synced With Hub,Customer GSTIN,Reason For Issuing document,Withholding Category,Barcode (Barcodes),Barcode Type (Barcodes),ID (Reorder level based on Warehouse),Check in (group) (Reorder level based on Warehouse),Request for (Reorder level based on Warehouse),Re-order Level (Reorder level based on Warehouse),Re-order Qty (Reorder level based on Warehouse),Material Request Type (Reorder level based on Warehouse),ID (UOMs),UOM (UOMs),Conversion Factor (UOMs),ID (Attributes),Variant Of (Attributes),Attribute (Attributes),Attribute Value (Attributes),Numeric Values (Attributes),From Range (Attributes),Increment (Attributes),To Range (Attributes),ID (Item Defaults),Company (Item Defaults),Default Warehouse (Item Defaults),Default Price List (Item Defaults),Default Buying Cost Center (Item Defaults),Default Supplier (Item Defaults),Default Expense Account (Item Defaults),Default Selling Cost Center (Item Defaults),Default Income Account (Item Defaults),ID (Supplier Items),Supplier (Supplier Items),Supplier Part Number (Supplier Items),ID (Customer Items),Customer Name (Customer Items),Customer Group (Customer Items),Ref Code (Customer Items),ID (Taxes),Item Tax Template (Taxes),Tax Category (Taxes),Valid From (Taxes),ID (Website Item Groups),Item Group (Website Item Groups),ID (Website Specifications),Label (Website Specifications),Description (Website Specifications)
Preform 28 gm Amber - Niyo,,,STO-ITEM-.YYYY.-,,Preform 28 gm Amber - Niyo,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Amber - Niyo,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,65805d90ae,Nos,1,,,,,,,,,61542421,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Dark Blue - Niyo,,,STO-ITEM-.YYYY.-,,Preform 28 gm Dark Blue - Niyo,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Dark Blue - Niyo,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,5d52c903d4,Nos,1,,,,,,,,,bb5391e9e8,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Light Blue - Niyo,,,STO-ITEM-.YYYY.-,,Preform 28 gm Light Blue - Niyo,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Light Blue - Niyo,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,ada74107a3,Nos,1,,,,,,,,,324510002e,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Clear - Mintu,,,STO-ITEM-.YYYY.-,,Preform 28 gm Clear - Mintu,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Clear - Mintu,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,18756c5e9f,Nos,1,,,,,,,,,52b796aa29,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Amber - Mintu,,,STO-ITEM-.YYYY.-,,Preform 28 gm Amber - Mintu,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Amber - Mintu,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,e0121a179a,Nos,1,,,,,,,,,f4fea157b7,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Dark Blue - Mintu,,,STO-ITEM-.YYYY.-,,Preform 28 gm Dark Blue - Mintu,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Dark Blue - Mintu,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,bf4cc067ce,Nos,1,,,,,,,,,c08206f8dd,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Light Blue - Mintu,,,STO-ITEM-.YYYY.-,,Preform 28 gm Light Blue - Mintu,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Light Blue - Mintu,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,34531eb330,Nos,1,,,,,,,,,a87fbb4363,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 10 gm Clear - Arova,,,STO-ITEM-.YYYY.-,,Preform 10 gm Clear - Arova,Preform 10 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 10 gm Clear - Arova,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,88a522fd54,Nos,1,,,,,,,,,2647af210b,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 10 gm Amber - Arova,,,STO-ITEM-.YYYY.-,,Preform 10 gm Amber - Arova,Preform 10 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 10 gm Amber - Arova,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,ddffc7a10c,Nos,1,,,,,,,,,9fc220b995,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 10 gm Dark Blue - Arova,,,STO-ITEM-.YYYY.-,,Preform 10 gm Dark Blue - Arova,Preform 10 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 10 gm Dark Blue - Arova,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,2aa232ffb4,Nos,1,,,,,,,,,f0a5186580,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
